Season,Matchday,Player,Wins,Losses,Ties,Pts,MPD,TMP,TCA,PCA,UfPE,OE,CAS,QPct,TPA,CAA,PCAA,UfPA,DE,NUfP,QPO,QPO+,QPD,QPD+,OPD,QvH,FW,FL,3PT,MCW,Rundle,Rundle Rank,League,Branch
63,25,McAndrewsS,17,6,2,36,27,117,89,1.3146,32,0.3299,1.1689311356962,0.5933,90,75,1.2000,25,0.7368,7,0.9232,--,1.3301,--,1.0667,99,0,0,11,19,C Seaboard Div 2,3,Seaboard,ParkS
63,25,McBeenS,6,17,2,13,-47,65,52,1.2500,25,0.3289,1.59799874843505,0.3611,112,76,1.4737,46,0.5208,-21,0.69,--,0.8819,--,0.8497,0,0,1,5,23,R Metro Div 2,24,Metro,FlynnR
63,25,McBryanD,11,11,3,24,-4,113,92,1.2283,20,0.2222,1.37753402861781,0.6389,117,91,1.2857,23,0.7294,-3,0.8611,--,1.3683,--,0.9516,97,0,1,7,8,B Metro,14,Metro,HegertyA
63,25,McBurneyM,11,10,4,26,14,55,49,1.1224,26,0.2921,1.0762899237659,0.3267,41,37,1.1081,21,0.7042,5,0.6188,--,1.0309,--,0.9963,92,3,0,3,21,E Metro Div 2,12,Metro,EtterT
63,25,McCandlishJ,17,5,3,37,52,155,105,1.4762,39,0.4699,1.13137084989848,0.7000,103,78,1.3205,32,0.6522,7,1.1699,--,1.3522,--,1.1221,106,1,0,14,8,C Metro,2,Metro,ArizpeAC
63,25,McCarthyD,6,16,3,15,-35,144,106,1.3585,26,0.3171,1.14122740941497,0.7067,179,126,1.4206,18,0.6786,8,1.0238,--,1.3853,--,0.9957,102,0,0,14,11,A Central,24,Central,VeredJ
63,25,McCartneyAC,8,15,2,17,-18,66,47,1.4043,35,0.4430,1.33626344707921,0.3264,84,59,1.4237,37,0.5542,-2,0.7694,--,0.8806,--,0.9972,0,2,1,3,24,R Metro Div 3,16,Metro,RosbyG
63,25,McCleeryJ,6,16,3,7,-54,80,57,1.4035,30,0.4225,1.77808886167143,0.5588,134,96,1.3958,33,0.6163,-3,0.9813,--,1.1751,--,1.0388,88,1,8,7,6,B Highland,26,Highland,MaddyE
63,25,McCluneJ,7,16,2,7,-41,54,46,1.1739,17,0.2656,1.64146276229466,0.4792,95,64,1.4844,47,0.5104,-30,0.7448,--,0.9896,--,0.776,96,0,9,5,13,D Seaboard Div 1,30,Seaboard,GerbeB
63,25,McClureM,9,13,3,18,-26,61,46,1.3261,33,0.4024,1.22245654319489,0.3485,87,59,1.4746,42,0.5172,-9,0.7509,--,0.8657,--,0.9196,93,1,3,6,21,E Skyline Div 1,19,Skyline,KahnKS
63,25,McCormackJ,13,7,5,31,8,94,70,1.3429,42,0.3962,0.979795897113271,0.4667,86,68,1.2647,37,0.6509,5,0.8629,--,1.1176,--,1.0471,104,0,0,7,25,D Skyline Div 1,3,Skyline,SamburgM
63,25,McCrawB,17,5,3,37,31,114,83,1.3735,45,0.4054,0.733212111192935,0.5533,83,64,1.2969,33,0.6413,12,0.9587,--,1.1946,--,1.0467,128,1,0,11,14,D Frontier Div 2,2,Frontier,IngramB
63,25,McCrearyJ,8,12,5,21,-2,46,39,1.1795,24,0.3288,1.26743836142039,0.2600,48,39,1.2308,27,0.6400,-3,0.5888,--,0.9,--,0.9688,92,2,0,3,28,E Horizon Div 2,18,Horizon,Hattman
63,25,McCueJ,9,12,4,22,-4,105,88,1.1932,23,0.2300,1.17029910706622,0.5867,109,80,1.3625,38,0.6122,-15,0.8167,--,1.1989,--,0.8422,91,1,0,6,16,B Frontier,17,Frontier,PrestemonE
