Season,Matchday,Player,Wins,Losses,Ties,Pts,MPD,TMP,TCA,PCA,UfPE,OE,QPct,TPA,CAA,PCAA,UfPA,DE,NUfP,QPO,QPD,OPD,FW,FL,3PT,MCW,Rundle,Rundle Rank,League,Branch
64,25,AlbertsonJC,12,10,3,27,-2,75,63,1.1905,32,0.3107,0.4200,77,57,1.3509,33,0.6024,-1,0.7307,1.0224,0.9131,1,0,5,17,R Seaboard Div 1,15,Seaboard,MatrosM
64,25,AlbinSM,10,13,2,22,-23,44,32,1.3750,32,0.4444,0.2133,67,52,1.2885,32,0.6279,0,0.6577,0.8412,1.0723,4,0,4,17,R Coastal Div 2,13,Coastal,ChuS
64,25,AlcornS,10,12,3,23,-2,68,60,1.1333,29,0.2843,0.4000,70,56,1.2500,37,0.6373,-8,0.6843,1.0373,0.9216,0,0,5,22,D Metro Div 1,18,Metro,EtterT
64,25,AlexanderD,21,0,4,46,101,201,138,1.4565,9,0.3000,0.9200,100,72,1.3889,36,0.5909,-27,1.22,1.5109,0.8909,2,0,21,3,R Maritime Div 1,1,Maritime,WolpertL
64,25,AlexanderJ,10,12,3,22,-3,82,67,1.2239,27,0.2967,0.4653,85,67,1.2687,33,0.6598,-6,0.762,1.1251,0.9565,0,1,8,19,D Corridor Div 2,19,Corridor,JohnsonW
64,25,AlexanderJA,3,18,4,8,-53,35,35,1.0000,20,0.2667,0.2536,88,60,1.4667,47,0.5204,-27,0.5203,0.774,0.7871,0,2,1,22,R Seaboard Div 1,30,Seaboard,GerbeB
64,25,AlexanderJaws,16,6,3,35,36,115,89,1.2921,31,0.3131,0.5933,79,56,1.4107,39,0.5568,-8,0.9064,1.1501,0.8699,2,0,10,,D Corridor Div 2,1,Corridor,KochanB
64,25,AllardT,13,9,3,28,29,102,77,1.3247,36,0.3636,0.5347,73,62,1.1774,23,0.7326,13,0.8983,1.2673,1.0962,4,1,8,17,D Pacific Div 1,9,Pacific,SchwartzT
64,25,AllenD,8,13,4,19,-16,60,51,1.1765,29,0.3187,0.3542,76,61,1.2459,28,0.6782,1,0.6729,1.0324,0.9969,2,1,1,13,D Corridor Div 2,21,Corridor,JohnsonW
64,25,AllenJ,14,7,4,32,13,136,102,1.3333,30,0.3191,0.6800,123,98,1.2551,19,0.7791,11,0.9991,1.4591,1.0982,0,0,13,10,B Frontier,3,Frontier,SausvilleK
64,25,AllenLR,10,12,3,23,-12,66,60,1.1000,25,0.2551,0.4000,78,60,1.3000,37,0.6224,-12,0.6551,1.0224,0.8775,0,0,4,17,D Corridor Div 1,14,Corridor,RafalA
64,25,AllenT,14,9,2,30,14,85,62,1.3710,44,0.4231,0.4133,71,56,1.2679,32,0.6444,12,0.8364,1.0577,1.0675,3,0,4,20,D Metro Div 1,4,Metro,FlynnR
64,25,AllisonW,10,12,3,21,5,61,50,1.2200,33,0.3511,0.3623,56,46,1.2174,30,0.6512,3,0.7134,1.0135,1.0023,0,2,5,16,E Pacific Div 1,18,Pacific,SchwartzT
64,25,Almasa,12,9,4,27,-2,73,56,1.3036,34,0.3778,0.3889,75,65,1.1538,29,0.7184,5,0.7667,1.1073,1.0962,0,1,4,23,D Metro Div 2,11,Metro,MillerA
